Rótulo,# Amostras,Média,Mín.,Máx.,Desvio Padrão,% de Erro,Vazão,KB/s,Sent KB/sec,Média de Bytes
Requisição HTTP,282336,29,0,1056,"52,16","0,000%","2821,01855","845,17","379,96","306,8"
TOTAL,282336,29,0,1056,"52,16","0,000%","2821,01855","845,17","379,96","306,8"
