Rótulo,# Amostras,Média,Mín.,Máx.,Desvio Padrão,% de Erro,Vazão,KB/s,Sent KB/sec,Média de Bytes
Requisição HTTP,314972,233,0,2212,"262,15","0,000%","3143,71550","913,98","426,41","297,7"
TOTAL,314972,233,0,2212,"262,15","0,000%","3143,71550","913,98","426,41","297,7"
