Rótulo,# Amostras,Média,Mín.,Máx.,Desvio Padrão,% de Erro,Vazão,KB/s,Sent KB/sec,Média de Bytes
Requisição HTTP,247473,442,0,22128,"1913,13","6,381%","802,82170","230,27","108,23","293,7"
TOTAL,247473,442,0,22128,"1913,13","6,381%","802,82170","230,27","108,23","293,7"
